TTD_ID,Indication,State,FHDI_Drug_ID
D0Z5OE,Adrenocortical carcinoma [ICD-11: 2D11.Z],Approved,D00249
D01ZSO,Depression [ICD-11: 6A70-6A7Z],Approved,D00250
D01ZSO,Skin imperfections [ICD-11: EK71],Patented,D00250
D07HQC,Narcolepsy [ICD-11: 7A20],Approved,D00251
D07HQC,Bipolar disorder [ICD-11: 6A60],Phase 4,D00251
D07HQC,Brain injury [ICD-11: NA07.Z],Investigative,D00251
D07HQC,Narcolepsy [ICD-11: 7A20],Approved,D00251
D07HQC,Bipolar disorder [ICD-11: 6A60],Phase 4,D00251
D07HQC,Brain injury [ICD-11: NA07.Z],Investigative,D00251
D07HQC,Narcolepsy [ICD-11: 7A20],Approved,D01372
D07HQC,Bipolar disorder [ICD-11: 6A60],Phase 4,D01372
D07HQC,Brain injury [ICD-11: NA07.Z],Investigative,D01372
D07HQC,Narcolepsy [ICD-11: 7A20],Approved,D01372
D07HQC,Bipolar disorder [ICD-11: 6A60],Phase 4,D01372
D07HQC,Brain injury [ICD-11: NA07.Z],Investigative,D01372
D05CKR,Pain [ICD-11: MG30-MG3Z],Approved,D00252
D07XHO,Pancreatitis [ICD-11: DC31-DC34],Approved,D00253
D07XHO,Sepsis [ICD-11: 1G40-1G41],Discontinued in Phase 2,D00253
D07JGT,Urinary tract infection [ICD-11: GC08],Approved,D00254
D0T3KI,Migraine [ICD-11: 8A80],Approved,D00255
D0X7DE,Major depressive disorder [ICD-11: 6A70.3],Approved,D00256
D0X7DE,Depression [ICD-11: 6A70-6A7Z],Withdrawn from market,D00256
D0O2EM,Human immunodeficiency virus infection [ICD-11: 1C62],Approved,D00257
D0T0KA,High blood pressure [ICD-11: BA00],Approved,D00258
D04OSE,Angina pectoris [ICD-11: BA40],Approved,D00259
D0SN9T,Prostate cancer [ICD-11: 2C82.0],Approved,D00260
D0XN1F,Cerebral vasospasm [ICD-11: BA85.Z],Approved,D00262
D0S5CU,Hypertension [ICD-11: BA00-BA04],Approved,D00263
D0T5WK,Epilepsy [ICD-11: 8A60-8A68],Approved,D00264
D0T5WK,Insomnia [ICD-11: 7A00-7A0Z],Approved,D00264
D0A1DH,Hypertension [ICD-11: BA00-BA04],Approved,D00265
D07YDE,Diabetic foot ulcer [ICD-11: BD54],Approved,D00266
D07YDE,Angina pectoris [ICD-11: BA40],Approved,D00266
D0Q2PE,Bacterial infection [ICD-11: 1A00-1C4Z],Approved,D00267
D04WFD,Depression [ICD-11: 6A70-6A7Z],Approved,D00268
D03NHW,Bacterial infection [ICD-11: 1A00-1C4Z],Approved,D00270
D01XNB,Gastroesophageal reflux disease [ICD-11: DA22.Z],Approved,D00271
D0K7WK,Chemotherapy-induced nausea [ICD-11: MD90],Approved,D00272
D0K7WK,Alcohol dependence [ICD-11: 6C40.2],Phase 2,D00272
D0D9FV,Parkinson disease [ICD-11: 8A00.0],Approved,D00273
D0M9DC,Rheumatoid arthritis [ICD-11: FA20],Approved,D00275
D0AJ5L,Hay fever [ICD-11: CA08.00],Approved,D00276
D09LDR,Anxiety disorder [ICD-11: 6B00-6B0Z],Approved,D00277
D0X2MB,Hypertension [ICD-11: BA00-BA04],Approved,D00278
D06ZPS,Arthritis [ICD-11: FA20],Approved,D00280
D01WJL,Pulmonary and extrapulmonary tuberculosis [ICD-11: 1B10.Z],Approved,D00281
D01WJL,Inflammatory bowel disease [ICD-11: DD72],Approved,D00281
D07ILQ,Attention deficit hyperactivity disorder [ICD-11: 6A05.Z],Approved,D00282
D0T6XX,Gastroesophageal reflux disease [ICD-11: DA22.Z],Approved,D00283
D0R0UJ,Hypertension [ICD-11: BA00-BA04],Approved,D00284
D0R0UJ,Skin imperfections [ICD-11: EK71],Patented,D00284
D0R0UJ,Muscular dystrophy [ICD-11: 8C70],Patented,D00284
D0D5GG,Attention deficit hyperactivity disorder [ICD-11: 6A05.Z],Approved,D00285
D0F0YZ,Insomnia [ICD-11: 7A00-7A0Z],Approved,D00286
D09QEI,Intermittent claudication [ICD-11: BD40.00],Approved,D00287
D00AWT,Psychiatric disorder [ICD-11: 6E8Z],Approved,D00288
D02HED,Schizophrenia [ICD-11: 6A20],Approved,D00289
D07ONP,Epilepsy [ICD-11: 8A60-8A68],Approved,D00290
D0O2IE,Analgesia [ICD-11: MB40.8],Withdrawn from market,D00291
D00VUL,Pain [ICD-11: MG30-MG3Z],Approved,D00292
D08FTG,Coagulation defect [ICD-11: 3B10.0],Approved,D00293
D08FTG,Pulmonary embolism [ICD-11: BB00],Approved,D00293
D0Y7RW,Seizure disorder [ICD-11: 8A6Z],Approved,D00294
