FHDI_Herb_ID,Herb_Latin_Name,Herb_English_Name,Herb_Pinyin_Name,Herb_Chinese_Name,Properties,Meridians ,Use_Part,Function ,Indication,Toxicity ,Therapeutic_Class,Therapeutic _Class_Chinese,HERB_ID,SymMap_ID,NPASS_ID,Taxonomy_ID,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Drug homologous food
H00632,Herba Equiseti Hiemalis,Common Scouring Rush Herb,MU ZEI,木贼,Mild; Sweet; Bitter,Lung; Liver,aerial parts,To dispel wind-heat and to remove nebula.,"Wind-heat red eye, tearing in wind, eye screen.",NA,Pungent Cool Diaphoretics,辛凉解表药,HERB004068,293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00633,Ephedra equisetina,Mongolian Ephedra,MU ZEI MA HUANG,木贼麻黄,NA,NA,herbaceous twigs,See Ephedra sinica.,See Ephedra sinica.,NA,NA,NA,HERB004069,NA,NPO28125,173280,Eukaryota,Viridiplantae,Streptophyta,Gnetopsida,Ephedrales,Ephedraceae,Ephedra,NA
H00634,Microtoena prainiana,Prain Microtoena,NAN CHUAN GUAN CHUN HUA,南川冠唇花,NA,NA,NA,NA,NA,NA,NA,NA,HERB004077,NA,NPO21245,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00635,Cuscuta australis,South Dodder Seed,NAN FANG TU SI ZI,南方菟丝子,NA,NA,ripe seed,See Cuscuta chinensis .,See Cuscuta chinensis .,NA,NA,NA,HERB004086,NA,NPO28669,267555,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,NA
H00636,Harpagophytum procumbens,Devil’s Clow,NAN FEI GOU MA,南非钩麻,NA,NA,whole herb,"To relieve pain, eliminate inflammation, resolve heat.","Bronchial asthma, ileitis, ulcerative colitis, rheumatis, abnormal increase of lipoxygenase.",NA,NA,NA,HERB004088,NA,NPO5565,222879,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Pedaliaceae,Harpagophytum,NA
H00637,Salvia sclarea,Clary,NAN OU DAN SHEN,南欧丹参,NA,NA,NA,NA,NA,NA,NA,NA,HERB004100,NA,NPO14822,38869,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Salvia,NA
H00638,Radix Adenophorae,Fourleaf Ladybell Root,NAN SHA SHEN,南沙参,NA,NA,NA,"To nourish yin and remove heat from the lung, to relieve phlegm, and to reinforce qi.","Treament of heat in the lung with dry cough, cough with scanty sticky sputum in phthisis with deficiency of yin , deficiency of both qi and yin with feverishness and thirst.",NA,Yin-Tonifying Medicinal,补阴药,HERB004102,297,NPO9655,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00639,Celastrus orbiculatus [Syn. Celastrus articulatus ],Oriental Bittersweet Root,NAN SHE TENG GEN,南蛇藤根,NA,NA,root,"To dispel wind and overcome damp, move qi and dissipate blood, resolve toxin and disperse swelling.","Wind-damp impediment pain, painful swelling from knocks and falls, amenorrhea, headache, lumbago, mounting qi , dysentery, intestinal wind bleeding, swelling toxin of welling abscess and flat abscess, burns and scalds, poisonous snake bite.",NA,NA,NA,HERB004106,NA,NPO6349,85181,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Celastrales,Celastraceae,Celastrus,NA
H00640,NA,Schisandrae Sphentherae Fructus,NAN WU WEI ZI,南五味子,NA,NA,NA,NA,NA,NA,Astringent Medicinal,收涩药,HERB004118,299,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00641,Flos Rhododendri Mollis,Yellow Azalea Flower,NAO YANG HUA,闹羊花,NA,NA,flower,"To relieve rheumatic conditions, and to eliminate blood stasis and alleviate pain.","Tachycardia, palpitation, hypertension, wind-damp impediment pain, knocks and falls, intractable lichen.",NA,Wind-Dampnessdispelling And Colddispersing Medicinal,祛风湿散寒药,HERB004129,300,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00643,Geranium nepalense,Nepal Cranesbill,NI BO ER LAO GUAN CAO,尼泊尔老鹳草,NA,NA,aerial parts,See Geranium wilfordii.,See Geranium wilfordii.,NA,NA,NA,HERB004141,NA,NPO18042,54667,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Geraniales,Geraniaceae,Geranium,NA
H00645,Citrus limon,Lemon Pericarp Equivalent plant: Citrus limonia,NING MENG PI,柠檬皮,NA,NA,pericarp,"To soothe stagnation and move qi, fortify stomach and relieve pain.","Blood stasis and abdominal pain, menstrual disorder, no thought of food and drink.",NA,NA,NA,HERB004179,NA,NPO319,2708,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Rutaceae,Citrus,NA
H00646,Lycium barbarum,Barbary Wolfberry Fruit,NING XIA GOU QI ZI,宁夏枸杞子,NA,NA,fruit,See Lycium chinense.,See Lycium chinense.,NA,NA,NA,HERB004184,NA,NPO23429,112863,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Solanaceae,Lycium,NA
H00647,Arctium lappa,Great Burdock Root,NIU BANG GEN,牛蒡根,NA,NA,root,"To dispel wind-heat, disperse swelling toxin.","Wind-heat common cold, headache, cough, wind toxin swollen face, swelling pain in th roat, gingiva painful swelling, wind-damp impediment pain, concretion and conglomeration, welling abscess and boil, hemorrhoids, prolapse of rectum.",NA,NA,NA,HERB004187,NA,NPO10449,4217,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Arctium,NA
H00648,Fructus Arctii lappae,achene of Great Burdock,NIU BANG ZI,牛蒡子,Cold; Pungent; Bitter,Lung; Stomach,fruit,"To dispel wind-heat and relieve cough, to promote eruption, to counteract toxicity, and to soothe sore throat.","Wind-heat common cold, cough with profuse phlegm, measles papules, wind papules, swelling pain in throat, epidemic parotitis, erysipelas, swollen welling abscess and sore toxin.",NA,Pungent Cool Diaphoretics,辛凉解表药,HERB004191,301,NPO28541,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00649,NA,Millettiae Speciosae Radix,NIU DA LI,牛大力,NA,NA,NA,NA,NA,NA,Antitussive Antiasthmetics,止咳平喘药,HERB004193,302,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00650,Calculus Bovis,Cow-bezoar,NIU HUANG,牛黄,Cool; Bitter,Liver; Heart,gallstone,"To restore consciousness by reducing fire and eliminating phlegm , to relieve convulsions, and to counteract toxicity.","Ardent fever, coma, fright epilepsy, convulsion, febrile diseases clouded spirit, wind stroke with orifice block, acute infant fright wind, swelling pain in throat, mouth and tongue sores, welling abscess and flat abscess with clove sore.",NA,Resuscitative Stimulant; Resuscitative Medicinal,开窍药,HERB004201,303,NPO14573,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00651,Sonchus arvensis,Field Sowthistle,NIU SHE TOU,牛舌头,NA,NA,herb,To clear heat and resolve toxin.,"Dysentery, appendicitis, mastitis, white turbidity, hemorrhoids, emission, swelling toxin of sore and boil, burns and scalds.",NA,NA,NA,HERB004211,NA,NPO28907,50192,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Sonchus,NA
H00652,Radix Achyranthis bidentatae,root of Twotooth Achyranthes,NIU XI,牛膝,Mild; Sweet; Sour; Bitter,Liver; Kidney,root,"To replenish the liver and the kidney, to strengthen the tendons and bones, to eliminate blood stasis and stimulate menstrual discharge, and to lead the blood to flow downward.","Aching in lumbus and knees, amenorrhea due to blood stasis, dysmenorrhea, postpartum blood stasis abdominal pain, concretion and conglomeration, retention of placenta , heat strangury, blood strangury, knocks and falls, swollen welling abscess and malign sore, swelling pain in throat.",NA,Blood Activating Stasis Removing Drugs,活血祛瘀药,HERB004218,304,NPO26766,384659,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Achyranthes,NA
H00653,Fructus Ligustri lucidi,fruit of Glossy privet,NU ZHEN ZI,女贞子,Cool; Sweet; Bitter,Liver; Kidney,Ligustru lucidu Ait.,"Treament of vertigo, tinnitus, weakness in the loins and knees, premature whitening of hair and impaired eyesight due to deficiency of yin of the liver and kidney.",1. Its component oleanolic acid can prevent and relieve cyclophosphamide-induced leukocytopenia in mice.2. Enhancing the anoxia tolerance of mice under atmospheric pressure.3. Increasing coronary flow in rabbits in vitro.4. Relaxing adrenaline-induced vasocontricyion in rabbits in vitro.5. Lowering the level of blood lipid.,NA,For tonifying weakness,补虚,HERB004237,NA,NPO18105,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00654,Radix Oryzae Glutinosae,Glutinous Rice root,NUO DAO GEN,糯稻根,NA,NA,NA,To stop cold sweat and lower asthenic fever.,NA,NA,Astringent Medicinal,收涩药,HERB004239,305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00655,Fructus Ligustri lucidi,fruit of Glossy privet,NV ZHEN ZI,女贞子,Cool; Sweet; Bitter,Liver; Kidney,NA,"To replenish the liver and kidney, improve eyesight and promote the growth of black hair.","Septicemia, chronic bronchitis, acute dysentery, dizziness and tinnitus, premature graying in beard and hair, dim vision.",NA,Yin-Tonifying Medicinal,补阴药,HERB004242,306,NPO18105,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00656,Mentha longifolia,Horse Mint,OU BO HE,欧薄荷,NA,NA,NA,NA,NA,NA,NA,NA,HERB004245,NA,NPO1439,38859,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Lamiaceae,Mentha,NA
H00657,Levisticum officinale,Garden Lovage,OU DANG GUI,欧当归,NA,NA,root,"To quicken blood and regulate menstruation, disinhibit urine.","Amenorrhea, dysmenorrhea, dizziness, headache, numbness in limbs, edema.",NA,NA,NA,HERB004247,NA,NPO25369,48042,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Apiaceae,Levisticum,NA
H00659,nodus nelumbinis rhizomatis,node of lotus rhizome,OU JIE,藕节,Mild; Sweet; Punkery,Stomach; Liver; Heart,NA,To arrest bleeding and remove blood stasis.,"Treament of hematemesis, hemoptysis, hematuria, abnormal uterine bleeding.",NA,Astringent Hemostatic Medicinal,收敛止血药,HERB004251,307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00660,Erica arborea,Tree Heath,OU SHI NAN,欧石楠,NA,NA,NA,NA,NA,NA,NA,NA,HERB004260,NA,NPO1919,270431,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Ericaceae,Erica,NA
H00661,Nelumbinis rhizomatis Preparata,Prepared node of lotus rhizome,OU TAN,藕炭,NA,NA,Nelumbo nucifera Gaertn.,NA,NA,NA,NA,NA,HERB004262,NA,NPO2468,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00662,Asarum europaeum,Asarabacca,OU XI XIN,欧细辛,NA,NA,NA,NA,NA,NA,NA,NA,HERB004265,NA,NPO2016,49456,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Piperales,Asaraceae,Asarum,NA
H00663,Glycyrrhiza glabra var. typica,Typical Licorice,OU YA GAN CAO,欧亚甘草,NA,NA,NA,NA,NA,NA,NA,NA,HERB004267,NA,NPO29384.1,49827,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Glycyrrhiza,NA
H00664,Aesculus hippocastanum,Horsechestnut,OU ZHOU QI YE SHU,欧洲七叶树,NA,NA,ripe fruit without shell,See Aesculus wilsonii.,See Aesculus wilsonii.,NA,NA,NA,HERB004292,NA,NPO23044,43364,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,NA
H00665,Derris scandens,Climbing Jewelvine,PAN YUAN YU TENG,攀援鱼藤,NA,NA,NA,NA,NA,NA,NA,NA,HERB004313,NA,NPO27553,1225699,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Brachypterum,NA
H00666,NA,Fructus Paulowniae fortunei,PAO TONG GUO,泡桐果,NA,NA,NA,NA,NA,NA,NA,NA,HERB004327,NA,NA,586722,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Lamiales,Paulowniaceae,Paulownia,NA
H00667,Herba Eupatorii,Fortune Eupatorium Herb,PEI LAN,佩兰,Cold; Mild,Lung; Spleen; Stomach,aerial parts,"To resolve damp, invigorate the function of the spleen and improve appetite by its spicy fragrance, and to expel summer heat from the body surface.","Nausea and vomiting, bad breath, drooling, distended head and oppression in chest, sweet-greasy in mouth, summerheat-damp exterior syndrome.",NA,Dampness Removing Drugs,化湿药,HERB004330,309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00668,NA,Curcuma zedoaria Rosc,PENG E ZHU,蓬莪术,NA,NA,NA,NA,NA,NA,NA,NA,HERB004336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00669,Humulus lupulus,European Hop Female-flower,PI JIU HUA,啤酒花,NA,NA,female-flower,"To fortify stomach and disperse food, disinhibit urine and quiet spirit, eliminate inflammation.","Indigestion, abdominal distention, edema, cystitis, tuberculosis, cough, insomnia, leprosy.",NA,NA,NA,HERB004345,NA,NPO13879,3486,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Cannabaceae,Humulus,NA
H00670,Cuscuta lupuliformis,Hop-shaped Dodder,PI JIU HUA TU SI ZI,啤酒花菟丝子,NA,NA,NA,NA,NA,NA,NA,NA,HERB004346,NA,NA,184476,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Solanales,Convolvulaceae,Cuscuta,NA
H00671,Folium Eriobotryae,Loquat Leaf,PI PA YE,枇杷叶,Minor cold; Bitter,Lung; Stomach,leaf,"To remove heat from the lung and the stomach, and to relieve cough and vomiting.","Lung heat cough, qi counterflow with rapid asthma , stomach heat vomiting, heat vexation and thirst.",NA,Antitussive Antiasthmetics,止咳平喘药,HERB004350,310,NA,23166,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Rosales,Rosaceae,No Rank at Level Genus,NA
H00673,Rhizoma Wenyujin Concisum,Wenyujin Concise Rhizome,PIAN JIANG HUANG,片姜黄,NA,NA,Curcuma wenyujin Y. H. Chen et C. Ling.,"Treament of amenorrhea and dysmenorrhea due to blood stasis, pricking pain in the chest and hypochondriac regions arthralgia.","Treament of amenorrhea and dysmenorrhea due to blood stasis, pricking pain in the chest and hypochondriac regions arthralgia.",NA,NA,NA,HERB004362,NA,NPO17751,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00675,Fructus Psoraleae Corylifoliae,fruit of Malaytea scurfpea,PO GU ZHI,破故纸,Extreme Warm; Pungent; Bitter,Spleen; Kidney,Psoralea corylifolia L.,"Treatment of impotence, seminal emission, enuresis, frequent urination, aching of the loins and knees with cold sensation, asthma in deficiency syndromes of the kidney, diarrhea occurring before dawn daily. External use for vitiligo and alpecia areata.","1. Corylifolinin ( isobavachalcone ) dilates coronary artery significantly. 2. Promoting phagocytosis of macrophage. 3. Exciting the intestinal smooth muscles in vivo or in vitro, and relaxing the uterus of guinea-pigs in vitro.",NA,For tonifying weakness,补虚,HERB004387,NA,NPO1470,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00676,Camellia sinensis var. assamica,Assam Tea,PU ER CHA,普洱茶,NA,NA,leaf,"To engender liquid and allay thirst, expel phlegm and precipitate qi.","Sand qi abdominal pain, cholera, dysentery.",NA,NA,NA,HERB004393,NA,NPO8258.1,261999,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ericales,Theaceae,Camellia,NA
H00677,Taraxacum mongolicum,Mongolian Dandelion,PU GONG YING,蒲公英,Cold; Sweet; Bitter,Stomach; Liver,aerial parts,"To clear heat and resolve toxin, dissipate binds and disperse swelling, disinhibit urine and free strangury.","Epidemic parotitis, infection of upper respiratory tract, tonsillitis, laryngitis, sore pharynx, mastitis, hepatitis, swelling toxin of clove sore, mammary welling abscess, scrofula, red eyes, pulmonary welling abscess, damp-heat jaundice, heat strangury with inhibited pain.",NA,Heat clearence,清热,HERB004401,NA,NPO26785,90037,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Taraxacum,The herb belongs to a list of traditional Chinese medicines published by China's National Health Commission as both food and medicine
H00678,pollen typhae,pollen of longbract cattail,PU HUANG,蒲黄,Mild; Sweet,Liver; Heart,pollen,"To arrest bleeding, to remove blood stasis, and to relieve dysuria.","Hyperlipemia, angina pectoris, exudative eczema, bleeding, hemoptysis, spontaneous external bleeding, blood ejection, hematochezia, hematuria, flooding and spotting, bleeding due to external injury, pain in heart and abdomen, dysmenorrhea, postpartum bleeding, postpartum abdominal pain, blood strangury with inhibited pain.",NA,Stasis-Resolving Hemostatic Medicinal,化瘀止血药,HERB004402,312,NPO21889,4732,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Poales,Typhaceae,No Rank at Level Genus,NA
H00681,Vitis vinifera,European Grape,OU ZHOU PU TAO,欧洲葡萄,NA,NA,fruit,"To supplement qi and blood, strengthen sinews and bones, disinhibit urine.","Vacuity of qi and blood, lung vacuity cough, palpitation and night sweating, wind-damp impediment pain, strangury, edema.",NA,NA,NA,HERB004423,NA,NPO40677,29760,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Vitales,Vitaceae,Vitis,NA
H00682,Aesculus chinensis,Chinese Buckeye,QI YE SHU,七叶树,NA,NA,ripe fruit without shell,See Aesculus wilsonii .,See Aesculus wilsonii.,NA,NA,NA,HERB004441,NA,NPO29234,290911,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Sapindales,Sapindaceae,Aesculus,NA
H00683,radix Peucedani,root of Grand Hogfennel,QIAN HU,前胡,Minor cold; Pungent; Bitter,Lung,root,"To dispel wind and remove heat, and to relieve cough and resolve phlegm .","Cough, externally contracted wind-heat, lung heat phlegm depression, cough and asthma with abundant phlegm, sticky phlegm, retching counterflow and reduced food intake, fullness and oppression in chest and diaphragm.",NA,Phlegresolving Medicine,化痰药,HERB004453,319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00684,Radix Moghaniae Philippinensis,root of Philippine Flemingia,QIAN JIN BA,千斤拔,Warm; Pungent,NA,NA,NA,NA,NA,Wind-Damp-Dispelling And Sinew-Bone-Strengthening Medicinal,祛风湿筋骨药,HERB004457,314,NPO9721,634991,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Flemingia,NA
H00685,Stephania japonica,Japanese Staphania,QIAN JIN TENG,千金藤,NA,NA,root or stem-leaf,"To clear heat and resolve toxin, dispel wind and relieve pain, disinhibit water and disperse edema.","Swelling pain in throat, swollen welling abscess, sore and boil, poisonous snake bite, wind-damp impediment pain, stomachache, beriberi with edema, nephritis with edema, urinary tract infection, rheumatic arthritis, sciatica.",NA,NA,NA,HERB004459,NA,NPO11351,461633,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Ranunculales,Menispermaceae,Stephania,NA
H00686,Senecio scandens,Climbing Groundsel,QIAN LI GUANG,千里光,Mild; Bitter,NA,aerial parts,"To clear heat and resolve toxin, eliminate screen and brighten eyes, kill worms and relieve itch.","Wind-fire eye, conjunctivitis, eye screen, typhoid fever, acute bacillary dysentery, pneumonia, lobar pneumonia, tonsillitis, appendicitis, bronchitis, enteritis, jaundice, influenza, toxemia, hematosepsis, swelling toxin of welling abscess and boil, dry lichen, damp lichen, erysipelas, eczema, scalds, trichomoniasis.",Toxic,Heat clearence,清热,HERB004462,NA,NA,189247,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Senecio,NA
H00687,Rhizoma Homalomee occultae,rhizome of Obscured Homalome,QIAN NIAN JIAN,千年健,Warm; Pungent; Bitter,Liver; Kidney,NA,To relieve rheumatic conditions and stregnthen the tendons and bones.,"Treament of rheumatoid arthritis with pain and cold sensation in the loins and knees, muscular contracture and numbness of the lower extremities.",NA,Wind-Damp-Dispelling And Sinew-Bone-Strengthening Medicinal,祛风湿筋骨药,HERB004468,316,NA,714477,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Homalomena,NA
H00688,Semen Pharbitidis,Pharbitis seed,QIAN NIU ZI,牵牛子,Cold; Bitter,Lung; Large Intestine; Kidney,seed,"To cause drastic purgation for clearing away retained fluid, and to kill worms.","Edema distention fullness, inhibited urine and stool, phlegm-rheum and accumulation-gathering, qi counterflow with cough and asthma, abdominal pain due to worm accumulation, ascariasis, taeniasis.",Extremely Toxic,Drastic Purgatives,通水药,HERB004469,318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00689,Lythrum salicaria,Spiked Loosestrife Equivalent plant: Lythrum anceps,QIAN QU CAI,千屈菜,NA,NA,whole herb,"To clear heat and resolve toxin, promote contraction and stanch bleeding.","Dysentery, diarrhea, hematochezia, flooding, ulcerating sores, blood ejection, spontaneous external bleeding, bleeding due to external injury.",NA,NA,NA,HERB004470,NA,NPO20598,13129,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Myrtales,Lythraceae,Lythrum,NA
H00690,Semen Euryales,seed of Gordon Euryale,QIAN SHI,芡实,Mild; Sweet; Punkery,Spleen; Kidney,NA,"1. To strengthen the kidney to preserve essence, drprive dampness to relieve leucorrhagia. 2. To strengthen the spleen to relieve diarrhea.","1. Treatment of kidney-deficiency manifested as nocturnal emission, frequent micturition, enuresis, whitish and turbid urine, or leucorrhagia. 2. Treatment of diarrhea. For diarrhea of spleen-deficiency type.",NA,Astringent Medicinal,收涩药,HERB004472,320,NPO21510,4413,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Nymphaeales,Nymphaeaceae,No Rank at Level Genus,The herb belongs to a list of traditional Chinese medicines published by China's National Health Commission as both food and medicine
H00692,Erythrina arborescens,Himalayan Coralbean Equivalent plant: Erythrina variegate,QIAO MU CI TONG,乔木刺桐,NA,NA,dried bark or root cortex,"To dispel wind and eliminate damp, soothe sinews and quicken network vessels, kill worms and relieve itch.","Wind-damp impediment pain, hypertonicity in limb joints, knocks and falls, scab and lichen, eczema.",NA,NA,NA,HERB004490,NA,NPO17657,1495519,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Erythrina,NA
H00694,Radix Gentiae macrophyllae,root of Largeleaf Gentian,QIN JIAO,秦艽,Minor cold; Pungent; Bitter,Stomach; Liver; Gallbladder,dried root,"To relieve rheumatic conditions, and to remove damp-heat.","Wind-damp impediment pain, hypertonicity of sinews and vessels, aching pain in joints, late afternoon tidal fever, child gan accumulation with fever.",NA,Wind-Dampnessdispelling And Heatclearing Medicinal,祛风湿清热药,HERB004507,324,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00695,Panax japonicus var. major,Largeleaf Japanese Ginseng,QIN LING ZHU ZI SHEN,秦岭珠子参,NA,NA,rhizome,"To clear heat and nourish yin , stanch bleeding and dissipate stasis, disperse swelling and relieve pain.","Febrile diseases with vexation and thirst, lung heat cough due to yin vacuity, hemoptysis, blood ejection, spontaneous external bleeding, hematochezia, hematuria, flooding and spotting, bleeding due to external injury, wound swelling from knocks and falls, wind-damp impediment pain, stomachache, menstrual disorder, wind-fire toothache, swelling pain in throat, swelling pain of welling abscess and sore.",NA,NA,NA,HERB004512,NA,NA,2557522,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Apiales,Araliaceae,Panax,NA
H00696,Cortex Fraxini,bark of Largeleaf Chinese Ash,QIN PI,秦皮,Cold; Bitter,Large Intestine; Liver; Gallbladder,NA,"To remove damp-heat, to arrest discharges, and to improve eyesight.","1. Inhibiting the growth of dysentery bacillus and staphylococcus.2. Antitussive and expectorant.3. Aesculin, one of its active components, prolongs the hypnotic effect of hexobarbital in mice.4. Aescuktin, another active component, exerts an antihistaminic effect and relaxes smooth muscles of guinea-pig's trachea in vitro.5. Analgesic. The effect of aescuktin is stronger than that of aspirin but weaker than codeine.",NA,Heat-Clearing And Dampnessdrying Medicinal,清热燥湿药,HERB004513,325,NPO28236,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00697,NA,Caulis Sinomenii,QING FENG TENG,青风藤,NA,NA,NA,NA,"Wind-damp impediment pain, pain from arthritis, swelling in joints, paralytic and pruritus.",NA,Wind-Dampnessdispelling And Colddispersing Medicinal,祛风湿散寒药,HERB004518,327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00698,Herba Artemisiae Annuae,Sweet Wormwood Herb,QING HAO,青蒿,Bitter;  pungent; cold,Liver; bladder; kidney,whole herb,"To remove summer-heat, to relieve consumptive fever,and to stop malarial attacks.",See Artemisia annua.,NA,Asthenic Heat Dispelling Drugs,清虚热药,HERB004520,329,NA,35608,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,NA
H00699,Vatica rassak,Rassak Vatica,QING MEI,青梅,NA,NA,NA,NA,NA,NA,NA,NA,HERB004528,NA,NPO25661,2867347,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Malvales,Dipterocarpaceae,Vatica,NA
H00700,Pericarpium Citri Reticulatae Viride,Green Tangerine Peel,QING PI,青皮,Warm; Pungent; Bitter,Stomach; Liver; Gallbladder,NA,"To soothe the liver, to disintegrate stagnated qi, and to remove retained food.","1. Its component limonene is an expectorant and antiasthmatic.2. Its decoction relaxes the smooth muscle of intestines, stomach, gallbladder and uterus.",NA,Qi Regulating Drugs,理气药,HERB004534,330,NPO27662,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00701,Herba Nerviliae,leaf of Ford Nervilia,QING TIAN KUI,青天葵,NA,NA,Nervilia fordii (Hance) Schltr.,"1. To clear heat and toxic material. For skin infection of intense heat type, sorethroat, summer-heat syndrome with fever and thirst, scrofula. 2. To moisturize the lung to relieve cough. For cough of heat type and dryness type.","1. To clear heat and toxic material. For skin infection of intense heat type, sorethroat, summer-heat syndrome with fever and thirst, scrofula. 2. To moisturize the lung to relieve cough. For cough of heat type and dryness type.",NA,NA,NA,HERB004539,NA,NPO15542,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00703,Flemingia strobilifera,Conespike Flemingia,QIU SUI QIAN JIN BA,球穗千斤拔,NA,NA,root or whole herb,"To clear heat and eliminate damp, dispel wind and free network vessels, relieve cough and transform phlegm.","Wind-damp impediment pain, lassitude in lumbus and knees, phlegm-heat cough, asthma, pertussis, jaundice.",NA,NA,NA,HERB004561,NA,NA,634992,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Flemingia,NA
H00704,herba Dianthi,all-grass of Lilac Pink,QU MAI,瞿麦,Cold; Bitter,Bladder; Small Intestine; Heart,aerial parts,"To relieve dysuria, and to stimulate menstrual discharge.","Strangury, heat strangury, blood strangury, stone strangury, urinary tract infection, urinary stoppage, dripping with inhibited pain, amenorrhea, carcinoma of esophagus, carcinoma of rectum.",NA,Diuretic Dampness Excreting Drugs,利水渗湿药,HERB004569,334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00705,Rhizoma Bistortae,rhizome of Bistort,QUAN SHEN,拳参,Cool; Bitter,Lung; Large Intestine; Liver,rhizome,"To remove toxic heat, to promote the subsidence of swelling, and to arrest bleeding.","Red dysentery, heat diarrhea, lung heat cough, swollen welling abscess, scrofula, mouth sore, tongue sores, blood ejection, spontaneous external bleeding, bleeding from hemorrhoids, poisonous snake bite.",NA,Antipyretic Detoxicate Drugs,清热解毒药,HERB004578,335,NA,137670,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Polygonaceae,No Rank at Level Genus,NA
H00706,Genista tinctoria,Common Woadwaxen,RAN LIAO MU,染料木,NA,NA,NA,NA,NA,NA,NA,NA,HERB004597,NA,NPO29328,49825,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Genista,NA
