FHDI_Herb_ID,Herb_Latin_Name,Herb_English_Name,Herb_Pinyin_Name,Herb_Chinese_Name,Properties,Meridians ,Use_Part,Function ,Indication,Toxicity ,Therapeutic_Class,Therapeutic _Class_Chinese,HERB_ID,SymMap_ID,NPASS_ID,Taxonomy_ID,Superkingdom,Kingdom,Phylum,Class,Order,Family,Genus,Drug homologous food
H00998,Caulis Genkwa,stem of Lilac Daphne,YUAN HUA TIAO,芫花条,Warm; Pungent; Bitter,Lung; Large Intestine; Kidney,Daphne genkwa Sieb. Et Zucc,Purging by pressure and by removing liquid,NA,Toxic,Purging,泻下,HERB006776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H00999,Coriandri Sativi Herba,Coriandri Sativi Herba,YUAN SUI,芫荽,NA,NA,NA,NA,NA,NA,Pungent-Warm Exterior-Releasing Medicinal,辛温解表药,HERB006784,473,NA,NA,NA,NA,NA,NA,NA,NA,NA,"The dried whole grass with roots of Coriandrum sativum L., a plant of the Umbelliferae family."
H01000,Drosera rotundifolia,Roundleaf Sundew,YUAN YE MAO GAO CAI,圆叶茅膏菜,NA,NA,whole herb,"To dispel phlegm, suppress cough, calm asthma, check dysentery.","Cough, asthma, pertussis, dysentery.",NA,NA,NA,HERB006792,NA,NPO3770,173423,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Caryophyllales,Droseraceae,Drosera,NA
H01001,Polygala tenuifolia,Thinleaf Milkwort Equivalent plant: Polygala sibirica,YUAN ZHI,远志,Minor Warm; Pungent; Bitter,Lung; Heart,root,"To quiet heart and spirit, dispel phlegm and open orifices, resolve toxin and disperse swelling.","Pharyngitis, disquieted heart spirit, fright palpitation and insomnia, amnesia, fright epilepsy, cough with profuse phlegm, effusion of back from welling abscess and flat abscess, painful swollen breast.",NA,Spirit calming,安神,HERB006798,NA,NPO27260,355332,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Polygalaceae,Polygala,NA
H01002,Flos Rosae chinensis,Chinese rose flower,YUE JI HUA,月季花,Sweet; warm,NA,flower,1. To invigorate blood and regulate menstruation; 2. To reduce swelling,"Menstrual disorder, dysmenorrhea, knocks and falls, blood stasis swelling and pain, scrofula, swollen welling abscess, scalds.",NA,Blood Activating Stasis Removing Drugs,活血祛瘀药,HERB006811,474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H01003,Glycyrrhiza yunnanensis,Yunnan Licorice,YUN NAN GAN CAO,云南甘草,NA,NA,root and rhizome,See Glycyrrhiza uralensis .,See Glycyrrhiza uralensis.,NA,NA,NA,HERB006827,NA,NPO12465,912971,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Glycyrrhiza,NA
H01004,Pueraria peduncularis,Yunnan Kudzuvine,YUN NAN GE TENG,云南葛藤,NA,NA,lianoid stem or root,"To kill worms (stem), upbear yang and resolve exterior (root).","Impotence, common cold (root).",NA,NA,NA,HERB006829,NA,NPO31315,714492,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Fabales,Fabaceae,Toxicopueraria,NA
H01005,Rhodiola yunnanesis,Yunnan Rhodiola,YUN NAN HONG JING TIAN,云南红景天,NA,NA,whole herb with root,"To supplement lung and boost kidney, clear heat and relieve cough, dissipate stasis and stanch bleeding.","Vacuity taxation with cough, kidney vacuity lumbar pain, pain in throat, painful swelling from knocks and falls, bleeding due to external injury.",NA,NA,NA,HERB006832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
H01006,Coptis teetoides [Syn. Coptis teeta],Yunnan Goldthread,YUN NAN HUANG LIAN,云南黄连,NA,NA,rhizome,See Coptis chinensis.,See Coptis chinensis.,NA,NA,NA,HERB006833,NA,NPO23519,NA,NA,NA,NA,NA,NA,NA,NA,NA
H01007,Rauvolfia yunnanensis,Yunnan Devilpepper,YUN NAN LUO FU MU,云南萝芙木,NA,NA,root,"To clear heat and calm liver, resolve toxin and kill worms.","Hypertension due to ascendant liver yang , headache, dizziness, vexation and agitation with insomnia, scab and lichen, snake bite.",NA,NA,NA,HERB006834,NA,NPO30558,1217299,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Gentianales,Apocynaceae,Rauvolfia,NA
